id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,_source_file,motif_rejet
2023-1332362,2023-05-30,000001,Adjudication,107000.0,7,,RUE GUERSANT,4376,75017,75117,Paris 17e Arrondissement,75,,,75117000AP0013,,,24,,,,,,,,,,1,2,Appartement,11,1,,,,,,2.290304,48.880028,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1340964,2023-12-21,000001,Adjudication,121000.0,33,,RUE DU SURMELIN,9132,75020,75120,Paris 20e Arrondissement,75,,,75120000BR0020,,,27,,3,15.01,,,,,,,2,2,Appartement,11,1,,,,,,2.404899,48.86908,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1663762,2022-07-07,000001,Adjudication,144000.0,51,,RUE DU ROCHER,8291,75008,75108,Paris 8e Arrondissement,75,,,75108000BX0014,,,71,11.04,,,,,,,,,1,2,Appartement,11,1,,,,,,2.31897,48.878435,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1688388,2022-05-12,000001,Adjudication,100000.0,144,,BD SUCHET,9107,75016,75116,Paris 16e Arrondissement,75,,,75116000BP0001,,,771,,,,,,,,,,1,2,Appartement,11,1,,,,,,2.258697,48.848963,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1360954,2023-10-18,000001,Adjudication,103500.0,241,,BD VOLTAIRE,9907,75011,75111,Paris 11e Arrondissement,75,,,75111000CR0108,,,136,,79,,,,,,,,2,2,Appartement,11,1,,,,,,2.392045,48.851032,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1688308,2022-12-29,000001,Echange,154949.0,38,,BD DES INVALIDES,4726,75007,75107,Paris 7e Arrondissement,75,,,75107000BK0016,,,45,,46,,,,,,,,2,2,Appartement,11,1,,,,,,2.314227,48.849952,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1647893,2022-03-28,000001,Echange,175000.0,10,,RUE CHORON,2021,75009,75109,Paris 9e Arrondissement,75,,,75109000AZ0036,,,38,,,,,,,,,,1,2,Appartement,11,1,,,,,,2.34147,48.877636,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1325344,2023-02-23,000001,Echange,67000.0,11,,RUE DES TENNIS,9197,75018,75118,Paris 18e Arrondissement,75,,,75118000AH0196,,,25,,,,,,,,,,1,2,Appartement,11,1,,,,,,2.329336,48.895192,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1663947,2022-05-19,000001,Adjudication,120000.0,63,,RUE DE LA JONQUIERE,5273,75017,75117,Paris 17e Arrondissement,75,,,75117000DG0069,,,9,,,,,,,,,,1,2,Appartement,10,1,,,,,,2.320408,48.89418,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1681663,2022-04-07,000001,Adjudication,25000.0,9,,PAS THIERE,9272,75011,75111,Paris 11e Arrondissement,75,,,75111000CC0013,,,16,,19,,,,,,,,2,2,Appartement,10,1,,,,,,2.374183,48.853648,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
